0.0485, 10.7500, 1.4096, 1199.3000, 169.3362
0.0487, 10.7000, 1.3416, 1197.8500, 154.8525
0.0489, 10.4000, 1.5355, 1171.2000, 176.1171
0.0491, 10.6000, 1.5355, 1191.0000, 184.3504
0.0493, 10.3000, 1.5252, 1141.7000, 183.5808
0.0494, 10.5000, 1.4690, 1165.5500, 155.1982
0.0496, 10.2000, 1.9358, 1136.4500, 218.5191
0.0498, 10.5500, 1.3945, 1179.6500, 161.2355
0.0500, 10.8000, 1.5079, 1191.8000, 165.6930
0.0502, 10.6500, 1.8994, 1178.0500, 225.4860
0.0504, 10.0500, 1.6376, 1104.4000, 189.5741
0.0506, 10.7000, 1.6255, 1196.2000, 184.7412
0.0508, 10.3500, 1.0400, 1149.2500, 122.5462
0.0509, 7.3000, 2.3642, 785.7500, 287.5612
0.0511, 7.3000, 2.5772, 783.6500, 318.2657
0.0513, 7.3500, 2.9607, 801.7500, 355.0116
0.0515, 6.7500, 3.0586, 724.6000, 350.8754
0.0517, 2.4000, 2.7796, 225.9000, 322.1925
0.0519, 2.7500, 2.5521, 261.6000, 297.8390
0.0521, 3.4000, 3.1689, 337.4500, 366.8698
0.0523, 3.5500, 3.3162, 360.6000, 380.2306
0.0524, 1.8000, 1.9084, 158.2000, 225.6352
0.0526, 3.7500, 3.2261, 382.5000, 368.7731
0.0528, 3.5000, 2.5649, 341.8000, 289.7615
0.0530, 3.5000, 2.8377, 350.4500, 322.3206
