0.0485, 10.3500, 1.6631, 1145.4000, 193.1643
0.0487, 10.2000, 1.9358, 1121.4000, 225.6323
0.0489, 10.9000, 1.1192, 1209.8500, 118.5048
0.0491, 10.5500, 1.5381, 1161.3000, 181.1775
0.0493, 11.1500, 1.5985, 1251.1500, 196.1855
0.0494, 10.0500, 1.6376, 1108.8500, 184.0670
0.0496, 10.6500, 1.6944, 1182.3000, 178.1469
0.0498, 9.8500, 1.6631, 1076.5000, 188.6106
0.0500, 10.5000, 1.7014, 1165.6000, 186.4421
0.0502, 10.2500, 1.2927, 1127.9000, 160.1975
0.0504, 10.5500, 1.7313, 1156.0000, 201.8113
0.0506, 10.5500, 1.4318, 1166.3000, 161.9295
0.0508, 10.5500, 1.3563, 1171.5000, 171.1750
0.0509, 6.0500, 2.8741, 636.9000, 331.5472
0.0511, 7.9000, 2.4473, 861.7500, 307.8967
0.0513, 7.1500, 3.1669, 764.2500, 383.4427
0.0515, 6.4000, 3.3779, 688.7000, 392.9978
0.0517, 2.1000, 2.3598, 191.2000, 271.3779
0.0519, 2.3000, 2.2029, 205.6500, 253.9277
0.0521, 1.8000, 1.5079, 145.4000, 158.3316
0.0523, 2.2500, 2.3141, 199.1500, 257.7729
0.0524, 2.3500, 2.1831, 214.1500, 244.2896
0.0526, 2.7500, 2.9890, 262.7500, 336.3249
0.0528, 3.8500, 3.1166, 390.6500, 362.8599
0.0530, 2.9000, 2.8451, 283.4500, 328.4380
